15	52.5
18	52.5
21	52.5
24	52.5
27	52.5
30	52.5
15	56.25
18	56.25
21	56.25
24	56.25
27	56.25
30	56.25
15	60
18	60
21	60
24	60
27	60
30	60
0	0
6	0
12	0
18	0
24	0
30	0
1.25	4.375
7	4.375
12.75	4.375
18.5	4.375
24.25	4.375
30	4.375
2.5	8.75
8	8.75
13.5	8.75
19	8.75
24.5	8.75
30	8.75
3.75	13.125
9	13.125
14.25	13.125
19.5	13.125
24.75	13.125
30	13.125
5	17.5
10	17.5
15	17.5
20	17.5
25	17.5
30	17.5
6.25	21.875
11	21.875
15.75	21.875
20.5	21.875
25.25	21.875
30	21.875
7.5	26.25
12	26.25
16.5	26.25
21	26.25
25.5	26.25
30	26.25
8.75	30.625
13	30.625
17.25	30.625
21.5	30.625
25.75	30.625
30	30.625
10	35
14	35
18	35
22	35
26	35
30	35
11.25	39.375
15	39.375
18.75	39.375
22.5	39.375
26.25	39.375
30	39.375
12.5	43.75
16	43.75
19.5	43.75
23	43.75
26.5	43.75
30	43.75
13.75	48.125
17	48.125
20.25	48.125
23.5	48.125
26.75	48.125
30	48.125
