0	0
137.5	0
275	0
412.5	0
550	0
0	125
137.5	125
275	125
412.5	125
550	125
0	250
137.5	250
275	250
412.5	250
550	250
0	375
137.5	375
275	375
412.5	375
550	375
0	500
137.5	500
275	500
412.5	500
550	500
676.9821242	570.9570467
812.9151066	622.7410855
954.9226695	654.2563905
1100	664.8361128
1245.077331	654.2563905
1387.084893	622.7410855
1523.017876	570.9570467
1650	500
550	600
679.6115932	653.2177851
815.9363299	692.0558141
956.8170021	715.6922929
1100	723.6270846
1243.182998	715.6922929
1384.06367	692.0558141
1520.388407	653.2177851
1650	600
550	700
682.2410621	735.4785234
818.9575533	761.3705427
958.7113347	777.1281952
1100	782.4180564
1241.288665	777.1281952
1381.042447	761.3705427
1517.758938	735.4785234
1650	700
550	800
684.8705311	817.7392617
821.9787766	830.6852714
960.6056674	838.5640976
1100	841.2090282
1239.394333	838.5640976
1378.021223	830.6852714
1515.129469	817.7392617
1650	800
550	900
687.5	900
825	900
962.5	900
1100	900
1237.5	900
1375	900
1512.5	900
1650	900
1787.5	900
1787.5	800
1787.5	700
1787.5	600
1787.5	500
1925	900
1925	800
1925	700
1925	600
1925	500
2062.5	900
2062.5	800
2062.5	700
2062.5	600
2062.5	500
2200	900
2200	800
2200	700
2200	600
2200	500
1650	375
1650	250
1650	125
1650	0
1787.5	375
1787.5	250
1787.5	125
1787.5	0
1925	375
1925	250
1925	125
1925	0
2062.5	375
2062.5	250
2062.5	125
2062.5	0
2200	375
2200	250
2200	125
2200	0
0	600
137.5	600
275	600
412.5	600
0	700
137.5	700
275	700
412.5	700
0	800
137.5	800
275	800
412.5	800
0	900
137.5	900
275	900
412.5	900
